invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-31797900035,2020-11-10,4967,Jeff's Market / Blue Grass,"102, W Mayne St",Blue Grass,52726.0,POINT (-90.766126 41.509119),82,SCOTT,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,26858,Templeton 4YR Rye,12,375,9.99,14.99,1,14.99,0.37,0.09
INV-23548800092,2019-11-27,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556.0,POINT (-91.978702 41.006456),51,JEFFERSON,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,6,21.78,6.0,1.58
INV-23609300026,2019-12-02,4962,Hilltop Grocery,1312 Harrison St,Davenport,52803.0,,82,SCOTT,1091200.0,Neutral Grain Spirits,434,LUXCO INC,41844,Everclear Alcohol,24,375,4.2,6.3,3,18.9,1.12,0.29
INV-39482900037,2021-08-24,3719,Wal-Mart 0581 / Marshalltown,2802 S Center St,Marshalltown,50158.0,POINT (-92.91231 42.012918),64,MARSHALL,1082100,Imported Cordials & Liqueur,192,"Mast-Jagermeister US, Inc",65259,Jagermeister Liqueur Mini Meisters,12,20,4.93,7.4,12,88.8,0.24,0.06
INV-39520400088,2021-08-25,5423,Stammer Liquor Corp,615 2nd Ave,Sheldon,51201.0,POINT (-95.854899 43.184242),71,OBRIEN,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold DSS,12,1000,4.85,7.28,4,29.12,4.0,1.05
INV-29941700050,2020-09-02,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft,50517.0,POINT (-94.218 43.29355),55,KOSSUTH,1091100.0,American Distilled Spirit Specialty,578,S&B Farms Distillery,77055,Sir Winston Peach,6,750,13.01,19.52,18,351.36,13.5,3.56
S30390600011,2016-01-26,2641,Hy-Vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.855054 41.261673),78,Pottawattamie,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,81124,99 Peppermint Mini,10,600,5.94,8.91,2,17.82,1.2,0.32
S30348700047,2016-01-25,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70,Muscatine,1081330.0,PEACH SCHNAPPS,65.0,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,4,45.72,4.0,1.06
S30466200002,2016-02-01,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081700.0,DISTILLED SPIRITS SPECIALTY,55.0,Sazerac North America,973627,Di Amore Quattro Orange,12,1000,9.75,14.63,120,1755.6,120.0,31.7
INV-16481100198,2018-12-20,2544,Hy-Vee Food Store / Marshalltown,802 South Center,Marshalltown,50158,POINT (-92.912817 42.039205),64,MARSHALL,1081100.0,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,6,75.54,6.0,1.58
