,zip_code,item_description,bottles_sold
0,50010,Member's Mark Spiced Rum,288
1,50022,Paramount Triple Sec,4
2,50111,Saints N Sinners Apple Pie,108
3,50131,Platinum 7x Vodka,48
4,50158,Hennessy VS,24
5,50158,Kahlua Coffee,3
6,50158,Kamora Coffee Liqueur,6
7,50263,Jagermeister w/2 Shot Glasses,84
8,50265,Kahlua Coffee,72
9,50266,Avion Silver w/Powell & Mahoney Margarita Mix,90
10,50314,Hennessy Vs Cognac,60
11,50314,Juarez Triple Sec,240
12,50314,Paul Masson Peach Grande Amber Brandy,24
13,50314,Remy Martin VSOP,24
14,50316,Hennessy VS,48
15,50317,Paul Masson Peach Grande Amber Brandy,24
16,50320,Di Amore Quattro Orange,120
17,50320,Glen Oaks Whiskey Buy the Barrel,66
18,50320,Tortilla Gold Dss,72
19,50327,Bacardi Gold Rum PET,102
20,50401,Ole Smoky Blackberry Moonshine Mini,48
21,50401,Ole Smoky Salty Caramel Whiskey,18
22,50461,Five O'clock Vodka,30
23,50501,Titos Vodka,108
24,50588,Phillips Root Beer Schnapps,4
25,50662,Ole Smoky Apple Pie Moonshine 70prf Mini,8
26,50701,Bacardi Gold,7
27,50701,Bacardi Gold Mini,4
28,50701,Dekuyper Triple Sec,2
29,50702,HA Elijah Craig Cask Barrel Proof,18
30,50702,Tortilla Gold Dss,768
31,50703,Bacardi Gold,1
32,50703,Hennessy VS,24
33,50703,Pinnacle Peach w/ Punch Dispenser,180
34,50703,Seagrams Extra Smooth,24
35,50707,Jameson,60
36,50801,Bacardi Gold Rum,5
37,51106,Juarez Triple Sec,144
38,51106,Kahlua Coffee Liqueur,240
39,51106,Kapali Coffee Liqueur,84
40,51246,Arrow Spearmint Schnapps,5
41,51247,Dekuyper Triple Sec,6
42,51360,Tortilla Gold Dss,48
43,51401,Bacardi Gold Mini,12
44,51401,Basil Hayden Dark Rye,18
45,51401,Paramount Sloe Gin,4
46,51501,99 Peppermint Mini,2
47,51501,Bacardi Gold Mini,4
48,51501,Juarez Triple Sec,48
49,51501,Kahlua Coffee,7
50,51555,Paramount Gold Rum,2
51,52001,Kamora Coffee Liqueur,4
52,52003,Bacardi Gold Rum Mini,5
53,52136,Five O'clock Vodka,2
54,52172,Kahlua Coffee,1
55,52240,Juarez Triple Sec,60
56,52240,Templeton Rye,18
57,52241,Bacardi Gold,1
58,52241,Maestro Agavero Gold,48
59,52314,Juarez Gold Dss,1560
60,52338,Cedar Ridge Single Malt Single Barrel Select,90
61,52402,Montezuma Triple Sec,216
62,52402,Paramount Gold Rum,7
63,52411,Everclear Alcohol,36
64,52556,Juarez Triple Sec,6
65,52601,Five O'clock Vodka,48
66,52601,Hennessy VS,24
67,52627,Kapali Coffee Liqueur,36
68,52732,Paramount Gold Rum,24
69,52761,Dekuyper Peachtree,4
70,52803,Everclear Alcohol,3
71,52804,Martell VSSD,2
