,store_number,store_name,sale_dollars,sale_dollars_percentage
0,2178,Double D Liquor Store,9.74,0.015897841
1,2465,Sid's Beverage Shop,41.55,0.067818819
2,2512,Hy-Vee Wine and Spirits / Iowa City,706.32,1.152870964
3,2515,Hy-Vee Food Store #1 / Mason City,900.24,1.469391433
4,2522,Hy-Vee Wine and Spirits / Spirit Lake,324.96,0.530406825
5,2538,Hy-Vee Food Store #3 / Waterloo,807.84,1.31857413
6,2544,Hy-Vee Food Store / Marshalltown,75.54,0.123298041
7,2562,Hy-Vee Food Store / Fort Dodge,1563.84,2.552533878
8,2571,Hy-Vee Food Store #2 / Waterloo,1992.15,3.251630834
9,2576,Hy-Vee Wine and Spirits / Storm Lake,33,0.053863322
10,2587,Hy-Vee Food Store / Johnston,64.32,0.104984512
11,2591,Hy-Vee Wine and Spirits / Atlantic,23.04,0.037606392
12,2593,Hy-Vee Food Store / Carroll,737.46,1.203698354
13,2601,Hy-Vee Food Store / Fairfield,21.78,0.035549793
14,2616,Hy-Vee Food and Drug / Clinton,282.24,0.460678306
15,2619,Hy-Vee Wine and Spirits / WDM,3372.3,5.504341873
16,2633,Hy-Vee #3 / BDI / Des Moines,4124.04,6.731348356
17,2636,Hy-Vee Wine and Spirits / Hubbell,70.56,0.115169576
18,2641,Hy-Vee Drugstore / Council Bluffs,17.82,0.029086194
19,2643,Hy-Vee Wine and Spirits / Waterloo,7,0.011425553
20,2647,Hy-Vee #7 / Cedar Rapids,486,0.793259838
21,2665,Hy-Vee / Waukee,1518.72,2.478888026
22,2670,Hy-Vee Food Store / Coralville,504,0.822639832
23,2843,CVS Pharmacy #8526 / Cedar Rapids,42,0.068553319
24,3162,Nash Finch / Wholesale Food,45.72,0.074625185
25,3385,Sam's Club 8162 / Cedar Rapids,691.2,1.128191769
26,3447,Sam's Club 6432 / Sioux City,6641.04,10.83965085
27,3494,Sam's Club 6514 / Waterloo,5199.36,8.486509196
28,3524,Sam's Club 6568 / Ames,3913.92,6.388385893
29,3549,Quicker Liquor Store,237.24,0.387228321
30,3705,Liquor Locker,37.5,0.061208321
31,3772,Shop N Save #1 / Mlk Pkwy,187.2,0.305551937
32,3869,Bootleggin' Barzini's Fin,6.75,0.011017498
33,3963,Tobacco Hut #14 / Council Bluffs,33.24,0.054255056
34,3993,New Star Liquor / W 4th S / Waterloo,80.49,0.13137754
35,4057,Tequila's Liquor Store,413.28,0.674564662
36,4136,Fareway Stores #983 / Grimes,1296,2.115359567
37,4152,Food Land Super Markets,13.26,0.021643262
38,4153,Fareway Stores #067 / Evansdale,1349.4,2.202520216
39,4156,Fareway Stores #412 / Oelwein,105.04,0.171448587
40,4158,Fareway Stores #409 / Carroll,32.52,0.053079856
41,4167,"Iowa Street Market, Inc.",50.36,0.082198694
42,4291,Fareway Stores #597 / Creston,71.25,0.11629581
43,4312,I-80 Liquor / Council Bluffs,174.24,0.284398342
44,4559,Osage Payless Foods,324,0.528839892
45,4829,Central City 2,2580.6,4.212111805
46,4867,Speedy Gas N Shop,68.18,0.111284888
47,4898,Burlington Shell,206.64,0.337282331
48,4962,Hilltop Grocery,18.9,0.030848994
49,4971,Fareway Stores #138 / Pleasant Hill,2295,3.745949233
50,5003,Famous Liquors,17.98,0.02934735
51,5063,Logan Convenience Store,63.36,0.103417579
52,5102,Wilkie Liquors,11620.8,18.96772412
53,5113,"Ray's Supermarket, Inc.",206.64,0.337282331
54,5146,Fareway Stores #153  /  W Des Moines,1349.28,2.202324349
55,5166,East Side Liquor and Groceries,206.64,0.337282331
56,5204,Quik Stop  /  Burlington,81.6,0.133189306
57,5244,The Ox & Wren Spirits and Gifts,75.12,0.122612508
58,5416,Depot Liquor & Grocery,112.47,0.183575996
59,5446,Pump N Pak,21,0.03427666
60,9001,Cedar Ridge Vineyards,3712.5,6.05962376
